,Компания,Чистая прибыль 2019,Чистая прибыль 2020,Чистая прибыль 2021,Капитализация 2019,Капитализация 2020,Капитализация 2021
752,WDAY,-418000000.0,-481000000.0,-282000000.0,41000000000.0,39400000000.0,64700000000.0
753,WDC,-754000000.0,-250000000.0,821000000.0,16500000000.0,16399999999.999998,19800000000.0
754,WEC,1140000000.0,1200000000.0,1300000000.0,31700000000.0,24500000000.0,28400000000.0
755,WELL,1230000000.0,1040000000.0,374000000.0,34299999999.999996,27100000000.0,35100000000.0
756,WFC,19500000000.0,3380000000.0,21500000000.0,210000000000.0,146000000000.0,216000000000.0
757,WFRD,,,,,,
758,WHR,1180000000.0,1080000000.0,1780000000.0,9730000000.0,11100000000.0,12900000000.0
759,WLK,421000000.0,330000000.0,2020000000.0,8250000000.0,9590000000.0,12600000000.0
760,WM,1670000000.0,1500000000.0,1820000000.0,52100000000.0,45900000000.0,60500000000.0
761,WMB,850000000.0,211000000.0,1520000000.0,25800000000.0,25600000000.0,37400000000.0
762,WMT,6670000000.0,14900000000.0,13500000000.0,287000000000.0,307000000000.0,394000000000.0
763,WPC,305000000.0,455000000.0,410000000.0,14500000000.0,11500000000.0,14800000000.0
764,WPM,,,,,,
765,WRB,682000000.0,531000000.0,1020000000.0,11800000000.0,11900000.0,14900000.0
766,WTRG,225000000.0,285000000.0,432000000.0,11300000000.0,10200000000.0,12100000000.0
767,WTW,,,,,,
768,WU,1060000000.0,744000000.0,806000000.0,11800000000.0,8580000000.0,7160000000.0
769,WY,-76000000.0,797000000.0,2610000000.0,19500000000.0,21500000000.0,29000000000.0
770,WYNN,123000000.0,-2069999999.9999998,-756000000.0,13500000000.0,12000000000.0,9670000000.0
771,X,-630000000.0,-1160000000.0,4170000000.0,1610000000.0,,
772,XEL,1370000000.0,1470000000.0,1600000000.0,35700000000.0,33000000000.0,37500000000.0
773,XOM,14300000000.0,-22400000000.0,23000000000.0,252000000000.0,160000000000.0,255000000000.0
774,XRAY,256000000.0,-73000000.0,411000000.0,12300000000.0,11700000000.0,11700000000.0
775,XYL,401000000.0,254000000.0,427000000.0,13800000000.0,18000000000.0,21500000000.0
776,YUM,1290000000.0,904000000.0,1580000000.0,32600000000.0,30700000000.0,36200000000.0
777,Z,-305000000.0,-162000000.0,-528000000.0,9770000000.0,29200000000.0,12600000000.0
778,ZBH,1130000000.0,-139000000.0,402000000.0,31000000000.0,30700000000.0,25700000000.0
779,ZTR,,,,,,
780,ZTS,1500000000.0,1640000000.0,2040000000.0,66000000000.0,72800000000.0,94600000000.0
